id,x_e_out [-]
4,0.003683411
7,-0.169086784
10,-0.120767489
12,-0.00359378
23,0.031570774
27,-0.170753509
34,0.069795132
36,-0.142304718
39,-0.127516136
43,-0.265967429
44,-0.125802279
45,-0.169147089
50,0.016965538
56,-0.226360798
57,0.071143404
60,0.021468651
62,0.072712973
68,-0.083865903
70,0.111462921
74,0.039536044
75,0.021207858
76,-0.094051935
78,-0.114127152
81,0.071025759
85,0.112247147
93,-0.037130259
95,0.096126087
97,0.088601567
99,0.046170689
112,-0.083107606
116,-0.121616147
119,0.109905645
120,0.002757048
122,-0.065418035
127,-0.26859659
137,0.081272937
143,-0.047593094
146,-0.092109948
148,0.059709236
149,-0.160993665
150,-0.148108155
155,0.078185886
161,-0.09866263
164,0.000710018
168,0.046129003
171,-0.002351545
177,-0.198644131
182,-0.125649512
183,-0.048115499
185,-0.101791337
186,-0.13452819
188,0.052940331
190,-0.144326061
192,-0.006876355
200,-0.140125513
203,0.076230489
204,-0.05535949
206,0.056255825
207,0.011030484
209,0.023551174
210,-0.104759865
211,0.025547154
214,-0.071549982
215,0.111920394
216,0.047522821
218,0.071867421
221,0.091566093
223,0.06762965
227,0.040511895
233,-0.09454827
237,-0.171258301
240,-0.123753473
241,0.052525271
245,0.05287426
249,-0.096442908
254,-0.002005612
258,0.055655554
260,0.076310791
261,-0.266186059
268,-0.085798055
271,0.126764342
273,0.095280968
280,0.078696102
282,0.065423705
285,-0.083211973
288,-0.046463974
292,0.052834671
293,-0.159894586
294,-0.204382554
296,0.010085519
303,0.109453425
305,-0.134764463
306,0.033483021
308,0.047894556
316,0.010033391
317,0.046691224
319,0.089263394
321,0.034808926
322,0.049250968
326,0.080752388
327,0.099781729
330,-0.225873947
333,-0.1183713
338,0.08843489
339,-0.072721608
340,0.073562309
341,0.108408801
342,0.046368048
347,0.099458396
348,-0.007089709
352,0.031476397
355,-0.110884219
358,-0.039373264
361,0.032522086
362,0.041586008
364,-0.040141068
369,-0.069918111
371,0.016142221
381,0.10941042
383,0.059809383
387,0.049294502
389,-0.016450766
397,-0.006931737
400,-0.159822851
402,-0.018869728
403,-0.059540205
407,-0.087777674
415,-0.097004727
417,-0.115163714
426,0.057959262
429,0.124562614
432,0.096070811
434,0.040584393
438,0.000987392
440,0.035543289
441,0.031338435
449,-0.120304815
450,-0.068347171
455,-0.101963408
456,-0.085506931
458,0.013420932
459,-0.018273637
460,0.126610473
461,-0.037153319
462,0.131894276
466,-0.209537625
468,0.004551079
469,0.096775353
472,0.023426309
475,0.017331257
477,-0.173192203
479,-0.102112703
486,-0.107692219
487,0.063068271
488,-0.270161808
489,0.045102205
491,0.121731192
495,-0.011446041
502,0.063354127
503,-0.136113599
504,0.080891624
506,-0.098608956
510,-0.076146342
511,0.010733981
513,0.081255615
515,0.03741046
516,-0.125168622
517,0.033922423
521,-0.046942316
522,-0.12206208
525,0.068108611
527,-0.032768846
530,-0.132419497
531,0.089377724
534,0.108162448
539,0.054786347
541,-0.113329545
542,0.052648902
545,0.009326246
555,-0.119207859
559,0.015285585
562,0.140210927
567,0.034266833
570,0.006761815
571,0.025299773
574,0.006122233
578,0.118754104
579,0.053783614
582,0.060260676
584,0.026053749
588,-0.282407016
594,0.008113056
596,-0.134126171
601,-0.135716349
606,-0.019004976
608,-0.063223533
609,0.070968173
610,-0.102259807
611,0.100629717
616,0.062663816
619,-0.085517168
620,-0.062989935
621,-0.078050077
623,-0.153771758
627,0.095108666
628,-0.011442492
630,-0.14762643
631,-0.028658366
633,0.119908348
642,-0.078941733
645,-0.168643817
647,-0.099214695
649,-0.227413863
650,-0.08163783
651,0.004996374
652,0.046783
657,-0.096716419
658,-0.0510455
663,0.053439513
667,0.049377646
671,-0.002499562
674,-0.103989735
677,0.133300588
685,0.013765903
686,0.067613892
688,-0.114570528
689,-0.086712822
690,0.047802329
693,-0.07337752
695,0.067981452
699,-0.201634288
702,0.056602843
705,-0.056368202
706,0.05122713
713,0.07310611
714,0.148160473
721,0.06704095
724,0.029103022
730,0.053847939
731,-0.204812169
733,0.097601421
734,-0.108605906
737,-0.037342854
740,-0.155200452
743,-0.21366331
748,0.133022681
749,0.060210038
750,-0.177719772
752,-0.007051848
754,-0.076001331
759,-0.119438708
760,0.134341151
769,0.039609909
770,-0.043118503
774,-0.130120173
776,0.071650743
778,-0.222968727
780,0.019368883
781,0.131097078
782,-0.098202072
783,0.113217339
786,-0.132070124
789,0.06770087
790,-0.063911252
792,0.088132113
793,0.105770342
797,-0.157283485
798,-0.059296243
800,0.062955923
808,0.105926871
810,-0.043063119
812,-0.084491059
816,0.071406215
819,0.034853049
824,0.033475414
825,0.042577229
831,-0.163841009
832,0.087911367
834,0.037787419
837,0.047020454
838,-0.046383843
840,-0.252256751
842,0.117649511
843,0.069939882
844,-0.153188661
845,0.03621614
848,0.064839512
851,0.055414416
855,0.052738465
858,-0.096199259
860,0.067326032
861,-0.067775711
864,-0.067424089
865,-0.073659435
869,0.091984473
873,-0.021676823
875,0.08392857
881,0.042864759
884,0.055353336
885,-0.114360102
891,0.068618461
895,-0.115110643
896,0.047371004
902,0.073893398
904,0.05161719
908,-0.104774714
914,0.067245603
924,0.114207633
